; Additional parameters:
; Temperature (TEMP) =   2.50000000e+001
; Temperature (TNOM) =   2.50000000e+001
; Local inaccuracy =   9.99999700e-003
; reltol =   1.00000000e-003
; Acceleration level = with acceleration

TIME     'v(in1)'     'v(in2)'     'v(out)'
  0.00000000e+000  0.00000000e+000  0.00000000e+000  1.29999992e+000
  2.00000000e-012  2.60000000e-003  2.60000000e-003  1.30111451e+000
  6.00000000e-012  7.80000000e-003  7.80000000e-003  1.30241266e+000
  1.40000000e-011  1.82000000e-002  1.82000000e-002  1.30264027e+000
  3.00000000e-011  3.90000000e-002  3.90000000e-002  1.30279340e+000
  6.20000000e-011  8.06000000e-002  8.06000000e-002  1.30285599e+000
  1.26000000e-010  1.63800000e-001  1.63800000e-001  1.30308208e+000
  1.55829268e-010  2.02578049e-001  2.02578049e-001  1.30321016e+000
  2.15487805e-010  2.80134147e-001  2.80134147e-001  1.30352067e+000
  2.72508783e-010  3.54261417e-001  3.54261417e-001  1.30387732e+000
  3.20869083e-010  4.17129808e-001  4.17129808e-001  1.30001026e+000
  3.67667543e-010  4.77967806e-001  4.77967806e-001  1.28897452e+000
  4.04992937e-010  5.26490818e-001  5.26490818e-001  1.27745192e+000
  4.48824204e-010  5.83471465e-001  5.83471465e-001  1.25453613e+000
  5.05210920e-010  6.56774196e-001  6.56774196e-001  1.18974096e+000
  5.49996927e-010  7.14996005e-001  7.14996005e-001  9.77469768e-001
  5.88570930e-010  7.65142209e-001  7.65142209e-001  5.64787099e-001
  6.24123193e-010  8.11360151e-001  8.11360151e-001  2.14294273e-001
  6.49642462e-010  8.44535201e-001  8.44535201e-001  1.15926169e-001
  6.73311322e-010  8.75304718e-001  8.75304718e-001  8.17385054e-002
  7.00406009e-010  9.10527811e-001  9.10527811e-001  5.09032629e-002
  7.31718369e-010  9.51233879e-001  9.51233879e-001  3.05591521e-002
  7.63030729e-010  9.91939947e-001  9.91939947e-001  1.72541804e-002
  8.23181916e-010  1.07013649e+000  1.07013649e+000  8.69440861e-003
  9.11591058e-010  1.18506838e+000  1.18506838e+000  5.99372990e-003
  1.00000000e-009  1.30000000e+000  1.30000000e+000  5.68796362e-003
  1.17681788e-009  1.30000000e+000  1.30000000e+000  1.31795689e-004
  1.43345628e-009  1.30000000e+000  1.30000000e+000  5.55319116e-006
  1.74541074e-009  1.30000000e+000  1.30000000e+000  3.58870442e-006
  2.36931966e-009  1.30000000e+000  1.30000000e+000  3.56343609e-006
  3.61713750e-009  1.30000000e+000  1.30000000e+000  3.56325167e-006
  6.11277318e-009  1.30000000e+000  1.30000000e+000  3.56325060e-006
  1.10000000e-008  1.30000000e+000  1.30000000e+000  3.56325060e-006
  1.13333334e-008  8.66666623e-001  1.30000000e+000  2.47001051e-002
  1.13730943e-008  8.14977437e-001  1.30000000e+000  4.57309739e-002
  1.14128552e-008  7.63288250e-001  1.30000000e+000  7.88555561e-002
  1.14526161e-008  7.11599064e-001  1.30000000e+000  1.27655522e-001
  1.15026934e-008  6.46498528e-001  1.30000000e+000  2.66462777e-001
  1.15523715e-008  5.81917107e-001  1.30000000e+000  6.69056548e-001
  1.15878166e-008  5.35838384e-001  1.30000000e+000  1.03616184e+000
  1.16161636e-008  4.98987331e-001  1.30000000e+000  1.17471016e+000
  1.16388684e-008  4.69471110e-001  1.30000000e+000  1.21558910e+000
  1.16721158e-008  4.26249511e-001  1.30000000e+000  1.24892598e+000
  1.16997542e-008  3.90319499e-001  1.30000000e+000  1.26716082e+000
  1.17479804e-008  3.27625454e-001  1.30000000e+000  1.28607190e+000
  1.18323259e-008  2.17976371e-001  1.30000000e+000  1.29584514e+000
  1.19161630e-008  1.08988055e-001  1.30000000e+000  1.29659762e+000
  1.20000000e-008  0.00000000e+000  1.30000000e+000  1.29711191e+000
  1.21676739e-008  0.00000000e+000  1.30000000e+000  1.29993171e+000
  1.25030218e-008  0.00000000e+000  1.30000000e+000  1.29999846e+000
  1.29615008e-008  0.00000000e+000  1.30000000e+000  1.29999926e+000
  1.38784587e-008  0.00000000e+000  1.30000000e+000  1.29999923e+000
  1.57123745e-008  0.00000000e+000  1.30000000e+000  1.29999923e+000
  1.78561874e-008  0.00000000e+000  1.30000000e+000  1.29999923e+000
  2.00000000e-008  0.00000000e+000  1.30000000e+000  1.29999923e+000
  2.03333334e-008  4.33333377e-001  1.30000000e+000  1.26291299e+000
  2.03996267e-008  5.19514656e-001  1.30000000e+000  1.20073858e+000
  2.04249450e-008  5.52428446e-001  1.30000000e+000  1.15815402e+000
  2.04736703e-008  6.15771410e-001  1.30000000e+000  9.61228890e-001
  2.05145676e-008  6.68937845e-001  1.30000000e+000  5.81772553e-001
  2.05514275e-008  7.16855760e-001  1.30000000e+000  2.12086809e-001
  2.05825054e-008  7.57257037e-001  1.30000000e+000  1.00108107e-001
  2.06054522e-008  7.87087877e-001  1.30000000e+000  8.41596604e-002
  2.06350034e-008  8.25504412e-001  1.30000000e+000  5.50700567e-002
  2.06677681e-008  8.68098567e-001  1.30000000e+000  3.60668314e-002
  2.07050412e-008  9.16553617e-001  1.30000000e+000  2.01911720e-002
  2.07695705e-008  1.00044165e+000  1.30000000e+000  7.79424453e-003
  2.08271779e-008  1.07533130e+000  1.30000000e+000  4.47119275e-003
  2.08847854e-008  1.15022096e+000  1.30000000e+000  3.84568222e-003
  2.10000000e-008  1.30000000e+000  1.30000000e+000  3.46948315e-003
  2.12304293e-008  1.30000000e+000  1.00044191e+000  1.02852651e-003
  2.13019170e-008  1.30000000e+000  9.07507930e-001  1.33136244e-002
  2.13734047e-008  1.30000000e+000  8.14573947e-001  4.67371660e-002
  2.14348866e-008  1.30000000e+000  7.34647427e-001  9.82674291e-002
  2.15082220e-008  1.30000000e+000  6.39311374e-001  2.30760177e-001
  2.15642462e-008  1.30000000e+000  5.66479933e-001  5.43799798e-001
  2.16106929e-008  1.30000000e+000  5.06099181e-001  1.01985135e+000
  2.16416004e-008  1.30000000e+000  4.65919436e-001  1.20682566e+000
  2.16665174e-008  1.30000000e+000  4.33527412e-001  1.24171538e+000
  2.16977713e-008  1.30000000e+000  3.92897287e-001  1.26437412e+000
  2.17219544e-008  1.30000000e+000  3.61459299e-001  1.27784654e+000
  2.17652495e-008  1.30000000e+000  3.05175705e-001  1.28898114e+000
  2.18256148e-008  1.30000000e+000  2.26700777e-001  1.29509370e+000
  2.19051529e-008  1.30000000e+000  1.23301235e-001  1.29626737e+000
  2.20000000e-008  1.30000000e+000  0.00000000e+000  1.29714008e+000
  2.21441759e-008  1.30000000e+000  0.00000000e+000  1.29971038e+000
  2.22555281e-008  1.30000000e+000  0.00000000e+000  1.29986272e+000
  2.24034612e-008  1.30000000e+000  0.00000000e+000  1.29991401e+000
  2.26862348e-008  1.30000000e+000  0.00000000e+000  1.29995657e+000
  2.30438668e-008  1.30000000e+000  0.00000000e+000  1.29997226e+000
  2.34014988e-008  1.30000000e+000  0.00000000e+000  1.29998050e+000
  2.41167627e-008  1.30000000e+000  0.00000000e+000  1.29998673e+000
  2.52723123e-008  1.30000000e+000  0.00000000e+000  1.29999219e+000
  2.71037614e-008  1.30000000e+000  0.00000000e+000  1.29999437e+000
  2.90518808e-008  1.30000000e+000  0.00000000e+000  1.29999651e+000
  3.10000000e-008  1.30000000e+000  0.00000000e+000  1.29999653e+000
  3.11803772e-008  1.06550968e+000  0.00000000e+000  1.29820068e+000
  3.13262297e-008  8.75901399e-001  0.00000000e+000  1.29810699e+000
  3.16179347e-008  4.96684845e-001  0.00000000e+000  1.29807406e+000
  3.20000000e-008  0.00000000e+000  0.00000000e+000  1.29848692e+000
  3.21318992e-008  0.00000000e+000  0.00000000e+000  1.29996783e+000
  3.22990497e-008  0.00000000e+000  0.00000000e+000  1.30003012e+000
  3.26333507e-008  0.00000000e+000  0.00000000e+000  1.30000026e+000
  3.33019529e-008  0.00000000e+000  0.00000000e+000  1.30000000e+000
  3.46391571e-008  0.00000000e+000  0.00000000e+000  1.30000000e+000
  3.73135656e-008  0.00000000e+000  0.00000000e+000  1.30000000e+000
  4.00000000e-008  0.00000000e+000  0.00000000e+000  1.30000000e+000
  4.00840548e-008  1.09271223e-001  1.09271223e-001  1.30283087e+000
  4.01681096e-008  2.18542447e-001  2.18542447e-001  1.30326460e+000
  4.02393172e-008  3.11112311e-001  3.11112311e-001  1.30367391e+000
  4.02916900e-008  3.79196989e-001  3.79196989e-001  1.30406545e+000
  4.03360091e-008  4.36811806e-001  4.36811806e-001  1.30002351e+000
  4.03686638e-008  4.79262927e-001  4.79262927e-001  1.28882566e+000
  4.03937212e-008  5.11837618e-001  5.11837618e-001  1.28112795e+000
  4.04224249e-008  5.49152378e-001  5.49152378e-001  1.27025401e+000
  4.04530890e-008  5.89015711e-001  5.89015711e-001  1.25105080e+000
  4.04958192e-008  6.44564980e-001  6.44564980e-001  1.20711256e+000
  4.05394555e-008  7.01292206e-001  7.01292206e-001  1.05578778e+000
  4.05784926e-008  7.52040355e-001  7.52040355e-001  6.93277285e-001
  4.06110308e-008  7.94339976e-001  7.94339976e-001  3.03330750e-001
  4.06359293e-008  8.26708068e-001  8.26708068e-001  1.50648775e-001
  4.06559288e-008  8.52707478e-001  8.52707478e-001  1.08049900e-001
  4.06827770e-008  8.87610133e-001  8.87610133e-001  6.87810025e-002
  4.07050757e-008  9.16598358e-001  9.16598358e-001  4.75710959e-002
  4.07496729e-008  9.74574808e-001  9.74574808e-001  2.15799177e-002
  4.08101717e-008  1.05322319e+000  1.05322319e+000  9.69018081e-003
  4.08920203e-008  1.15962644e+000  1.15962644e+000  6.19630439e-003
  4.09460103e-008  1.22981335e+000  1.22981335e+000  6.01220641e-003
  4.10000000e-008  1.30000000e+000  1.30000000e+000  5.45316371e-003
  4.11079795e-008  1.30000000e+000  1.30000000e+000  2.05643011e-004
  4.12714698e-008  1.30000000e+000  1.30000000e+000  8.45736877e-006
  4.14709173e-008  1.30000000e+000  1.30000000e+000  3.66050964e-006
  4.18698122e-008  1.30000000e+000  1.30000000e+000  3.56430030e-006
  4.26676019e-008  1.30000000e+000  1.30000000e+000  3.56326037e-006
  4.42631814e-008  1.30000000e+000  1.30000000e+000  3.56325062e-006
  4.74543403e-008  1.30000000e+000  1.30000000e+000  3.56325060e-006
  5.10000000e-008  1.30000000e+000  1.30000000e+000  3.56325058e-006
  5.13333334e-008  8.66666623e-001  1.30000000e+000  2.47001051e-002
  5.13730943e-008  8.14977437e-001  1.30000000e+000  4.57309739e-002
  5.14128552e-008  7.63288250e-001  1.30000000e+000  7.88555561e-002
  5.14526161e-008  7.11599064e-001  1.30000000e+000  1.27655522e-001
  5.15026934e-008  6.46498528e-001  1.30000000e+000  2.66462777e-001
  5.15523715e-008  5.81917107e-001  1.30000000e+000  6.69056548e-001
  5.15878166e-008  5.35838384e-001  1.30000000e+000  1.03616184e+000
  5.16161636e-008  4.98987331e-001  1.30000000e+000  1.17471016e+000
  5.16388684e-008  4.69471110e-001  1.30000000e+000  1.21558910e+000
  5.16721158e-008  4.26249511e-001  1.30000000e+000  1.24892598e+000
  5.16997542e-008  3.90319499e-001  1.30000000e+000  1.26716082e+000
  5.17479804e-008  3.27625454e-001  1.30000000e+000  1.28607190e+000
  5.18323259e-008  2.17976371e-001  1.30000000e+000  1.29584514e+000
  5.19161630e-008  1.08988055e-001  1.30000000e+000  1.29659762e+000
  5.20000000e-008  0.00000000e+000  1.30000000e+000  1.29711191e+000
  5.21676739e-008  0.00000000e+000  1.30000000e+000  1.29993171e+000
  5.25030218e-008  0.00000000e+000  1.30000000e+000  1.29999846e+000
  5.29615008e-008  0.00000000e+000  1.30000000e+000  1.29999926e+000
  5.38784587e-008  0.00000000e+000  1.30000000e+000  1.29999923e+000
  5.57123745e-008  0.00000000e+000  1.30000000e+000  1.29999923e+000
  5.78561874e-008  0.00000000e+000  1.30000000e+000  1.29999923e+000
  6.00000000e-008  0.00000000e+000  1.30000000e+000  1.29999923e+000
  6.03333334e-008  4.33333377e-001  1.30000000e+000  1.26291299e+000
  6.03996267e-008  5.19514656e-001  1.30000000e+000  1.20073858e+000
  6.04249450e-008  5.52428446e-001  1.30000000e+000  1.15815402e+000
  6.04736703e-008  6.15771410e-001  1.30000000e+000  9.61228890e-001
  6.05145676e-008  6.68937845e-001  1.30000000e+000  5.81772553e-001
  6.05514275e-008  7.16855760e-001  1.30000000e+000  2.12086809e-001
  6.05825054e-008  7.57257037e-001  1.30000000e+000  1.00108107e-001
  6.06054522e-008  7.87087877e-001  1.30000000e+000  8.41596604e-002
  6.06350034e-008  8.25504412e-001  1.30000000e+000  5.50700567e-002
  6.06677681e-008  8.68098567e-001  1.30000000e+000  3.60668314e-002
  6.07050412e-008  9.16553617e-001  1.30000000e+000  2.01911720e-002
  6.07695705e-008  1.00044165e+000  1.30000000e+000  7.79424453e-003
  6.08271779e-008  1.07533130e+000  1.30000000e+000  4.47119275e-003
  6.08847854e-008  1.15022096e+000  1.30000000e+000  3.84568222e-003
  6.10000000e-008  1.30000000e+000  1.30000000e+000  3.46948315e-003
  6.12304293e-008  1.30000000e+000  1.00044191e+000  1.02852651e-003
  6.13019170e-008  1.30000000e+000  9.07507930e-001  1.33136244e-002
  6.13734047e-008  1.30000000e+000  8.14573947e-001  4.67371660e-002
  6.14348866e-008  1.30000000e+000  7.34647427e-001  9.82674291e-002
  6.15082220e-008  1.30000000e+000  6.39311374e-001  2.30760177e-001
  6.15642462e-008  1.30000000e+000  5.66479933e-001  5.43799798e-001
  6.16106929e-008  1.30000000e+000  5.06099181e-001  1.01985135e+000
  6.16416004e-008  1.30000000e+000  4.65919436e-001  1.20682566e+000
  6.16665174e-008  1.30000000e+000  4.33527412e-001  1.24171538e+000
  6.16977713e-008  1.30000000e+000  3.92897287e-001  1.26437412e+000
  6.17219544e-008  1.30000000e+000  3.61459299e-001  1.27784654e+000
  6.17652495e-008  1.30000000e+000  3.05175705e-001  1.28898114e+000
  6.18256148e-008  1.30000000e+000  2.26700777e-001  1.29509370e+000
  6.19051529e-008  1.30000000e+000  1.23301235e-001  1.29626737e+000
  6.20000000e-008  1.30000000e+000  0.00000000e+000  1.29714008e+000
  6.21441759e-008  1.30000000e+000  0.00000000e+000  1.29971038e+000
  6.22555281e-008  1.30000000e+000  0.00000000e+000  1.29986272e+000
  6.24034612e-008  1.30000000e+000  0.00000000e+000  1.29991401e+000
  6.26862348e-008  1.30000000e+000  0.00000000e+000  1.29995657e+000
  6.30438668e-008  1.30000000e+000  0.00000000e+000  1.29997226e+000
  6.34014988e-008  1.30000000e+000  0.00000000e+000  1.29998050e+000
  6.41167627e-008  1.30000000e+000  0.00000000e+000  1.29998673e+000
  6.52723123e-008  1.30000000e+000  0.00000000e+000  1.29999219e+000
  6.71037614e-008  1.30000000e+000  0.00000000e+000  1.29999437e+000
  6.90518808e-008  1.30000000e+000  0.00000000e+000  1.29999651e+000
  7.10000000e-008  1.30000000e+000  0.00000000e+000  1.29999653e+000
  7.11803772e-008  1.06550968e+000  0.00000000e+000  1.29820068e+000
  7.13262297e-008  8.75901399e-001  0.00000000e+000  1.29810699e+000
  7.16179347e-008  4.96684845e-001  0.00000000e+000  1.29807406e+000
  7.20000000e-008  0.00000000e+000  0.00000000e+000  1.29848692e+000
  7.21318992e-008  0.00000000e+000  0.00000000e+000  1.29996783e+000
  7.22990497e-008  0.00000000e+000  0.00000000e+000  1.30003012e+000
  7.26333507e-008  0.00000000e+000  0.00000000e+000  1.30000026e+000
  7.33019529e-008  0.00000000e+000  0.00000000e+000  1.30000000e+000
  7.46391571e-008  0.00000000e+000  0.00000000e+000  1.30000000e+000
  7.73135656e-008  0.00000000e+000  0.00000000e+000  1.30000000e+000
  8.00000000e-008  0.00000000e+000  0.00000000e+000  1.30000000e+000
  8.00840548e-008  1.09271223e-001  1.09271223e-001  1.30283087e+000
  8.01681096e-008  2.18542447e-001  2.18542447e-001  1.30326460e+000
  8.02393172e-008  3.11112311e-001  3.11112311e-001  1.30367391e+000
  8.02916900e-008  3.79196989e-001  3.79196989e-001  1.30406545e+000
  8.03360091e-008  4.36811806e-001  4.36811806e-001  1.30002351e+000
  8.03686638e-008  4.79262927e-001  4.79262927e-001  1.28882566e+000
  8.03937212e-008  5.11837618e-001  5.11837618e-001  1.28112795e+000
  8.04224249e-008  5.49152378e-001  5.49152378e-001  1.27025401e+000
  8.04530890e-008  5.89015711e-001  5.89015711e-001  1.25105080e+000
  8.04958192e-008  6.44564980e-001  6.44564980e-001  1.20711256e+000
  8.05394555e-008  7.01292206e-001  7.01292206e-001  1.05578778e+000
  8.05784926e-008  7.52040355e-001  7.52040355e-001  6.93277285e-001
  8.06110308e-008  7.94339976e-001  7.94339976e-001  3.03330750e-001
  8.06359293e-008  8.26708068e-001  8.26708068e-001  1.50648775e-001
  8.06559288e-008  8.52707478e-001  8.52707478e-001  1.08049900e-001
  8.06827770e-008  8.87610133e-001  8.87610133e-001  6.87810025e-002
  8.07050757e-008  9.16598358e-001  9.16598358e-001  4.75710959e-002
  8.07496729e-008  9.74574808e-001  9.74574808e-001  2.15799177e-002
  8.08101717e-008  1.05322319e+000  1.05322319e+000  9.69018081e-003
  8.08920203e-008  1.15962644e+000  1.15962644e+000  6.19630439e-003
  8.09460103e-008  1.22981335e+000  1.22981335e+000  6.01220641e-003
  8.10000000e-008  1.30000000e+000  1.30000000e+000  5.45316371e-003
  8.11079795e-008  1.30000000e+000  1.30000000e+000  2.05643011e-004
  8.12714698e-008  1.30000000e+000  1.30000000e+000  8.45736877e-006
  8.14709173e-008  1.30000000e+000  1.30000000e+000  3.66050964e-006
  8.18698122e-008  1.30000000e+000  1.30000000e+000  3.56430030e-006
  8.26676019e-008  1.30000000e+000  1.30000000e+000  3.56326037e-006
  8.42631814e-008  1.30000000e+000  1.30000000e+000  3.56325062e-006
  8.74543403e-008  1.30000000e+000  1.30000000e+000  3.56325060e-006
  9.10000000e-008  1.30000000e+000  1.30000000e+000  3.56325058e-006
  9.13333334e-008  8.66666623e-001  1.30000000e+000  2.47001051e-002
  9.13730943e-008  8.14977437e-001  1.30000000e+000  4.57309739e-002
  9.14128552e-008  7.63288250e-001  1.30000000e+000  7.88555561e-002
  9.14526161e-008  7.11599064e-001  1.30000000e+000  1.27655522e-001
  9.15026934e-008  6.46498528e-001  1.30000000e+000  2.66462777e-001
  9.15523715e-008  5.81917107e-001  1.30000000e+000  6.69056548e-001
  9.15878166e-008  5.35838384e-001  1.30000000e+000  1.03616184e+000
  9.16161636e-008  4.98987331e-001  1.30000000e+000  1.17471016e+000
  9.16388684e-008  4.69471110e-001  1.30000000e+000  1.21558910e+000
  9.16721158e-008  4.26249511e-001  1.30000000e+000  1.24892598e+000
  9.16997542e-008  3.90319499e-001  1.30000000e+000  1.26716082e+000
  9.17479804e-008  3.27625454e-001  1.30000000e+000  1.28607190e+000
  9.18323259e-008  2.17976371e-001  1.30000000e+000  1.29584514e+000
  9.19161630e-008  1.08988055e-001  1.30000000e+000  1.29659762e+000
  9.20000000e-008  0.00000000e+000  1.30000000e+000  1.29711191e+000
  9.21676739e-008  0.00000000e+000  1.30000000e+000  1.29993171e+000
  9.25030218e-008  0.00000000e+000  1.30000000e+000  1.29999846e+000
  9.29615008e-008  0.00000000e+000  1.30000000e+000  1.29999926e+000
  9.38784587e-008  0.00000000e+000  1.30000000e+000  1.29999923e+000
  9.57123745e-008  0.00000000e+000  1.30000000e+000  1.29999923e+000
  9.78561874e-008  0.00000000e+000  1.30000000e+000  1.29999923e+000
  1.00000000e-007  0.00000000e+000  1.30000000e+000  1.29999923e+000
